Address__c,Assessed_Value__c,Baths__c,Beds__c,Broker__c,City__c,Date_Agreement__c,Date_Closed__c,Date_Contracted__c,Date_Listed__c,Date_Pre_Market__c,Description__c,Location__latitude__s,Location__longitude__s,Picture__c,Price__c,Price_Sold__c,State__c,Status__c,Tags__c,Thumbnail__c,Zip__c,id
Particularly TV.,227451.57,1,5,Broker__cRef10,So experience.,1979-08-26,1978-08-21,1980-05-18,1981-07-13,1994-07-24,Rest would development system now. Pass than cost if player system which economic.,35.3010425,-102.606214,http://reyes-yoder.com/,553075.51,746194.9,Build bar perform.,Closed,Need play thus show.,http://erickson.com/,Land.,1
Great somebody.,456767.57,3,4,Broker__cRef10,Simple never.,2018-03-25,1970-07-03,1970-07-10,1977-09-02,2009-04-18,Lay other list yet listen weight. Exactly picture voice the low each. Reflect career say meeting against.,37.2362795,166.733270,http://www.ramsey-lamb.com/,332346.31,255648.16,History question.,Contracted,Piece specific born.,https://www.brandt-cisneros.com/,Fact.,2
Their for company.,73060.45,3,3,Broker__cRef10,Region who contain.,1976-06-03,1999-04-29,1994-11-04,1998-05-08,2001-02-22,New whom effort sit green argue.,-70.646555,28.248962,http://www.callahan-barr.net/,659385.51,229122.4,Their war what.,Available,Deal fight plant.,https://www.silva.com/,Sell.,3
Leave relationship.,211299.96,0,4,Broker__cRef10,List benefit system.,1991-05-21,2010-07-24,1973-01-15,1979-03-30,1975-01-16,Baby at cup build or amount until. Less difficult community. Win travel across sure.,79.3919965,-164.124074,https://www.jones-mullins.com/,883029.57,147418.65,Staff its.,Closed,Beautiful city unit.,https://hill-long.com/,Raise.,4
Class successful.,786523.87,0,1,Broker__cRef10,Television take.,2012-02-24,2021-01-08,1971-12-14,1989-01-01,2001-06-28,Phone expect agency sometimes enter. Challenge level old in. Away it road argue also report.,-87.1113425,53.467222,http://www.duran.com/,346575.1,344098.95,Why theory look.,Available,Tend hold person.,https://www.best.com/,Test.,5
Remain pay happy.,361921.84,2,5,Broker__cRef10,Fast east call move.,2018-03-19,2002-08-30,1990-04-27,1994-03-19,2019-12-11,World pass analysis technology able magazine manage hair. It financial wide early travel be. West wife technology.,-71.5202075,-93.265240,https://wise.info/,122716.28,610017.1,Close so white.,Contracted,Draw establish.,https://leach.org/,Party.,6
Case new wind west.,879596.29,2,1,Broker__cRef10,Public remember.,1980-05-28,2012-01-14,1996-12-20,2015-10-12,1985-12-02,Why father pick its. Drop direction happy federal.,-76.962310,-65.843778,http://gamble-turner.info/,340962.9,3882.37,Decision sing.,Closed,Plan race easy.,https://www.payne-mullins.com/,Out.,7
Financial challenge.,847788.67,1,3,Broker__cRef10,Everything single.,2008-02-23,2019-05-30,2014-04-16,2007-09-19,1975-04-11,Community north morning simple seek. Compare draw social condition camera interesting avoid system.,-6.713772,106.340723,http://www.clay.info/,330060.5,448305.22,Into buy get where.,Available,Picture go left.,http://buckley.info/,Read.,8
Leg particular away.,471532.22,2,4,Broker__cRef10,Push before entire.,1971-11-29,1985-12-10,1988-07-05,1992-11-13,1990-07-14,Pick employee many account size professional structure wait. Adult million thus rock. Forward specific send admit.,-85.7481555,-115.643908,http://roach.com/,783018.67,546614.26,Career capital.,Available,Factor himself.,http://www.cherry.com/,Peace.,9
Vote game send cell.,559193.3,0,2,Broker__cRef10,Me herself right.,1995-08-17,1970-08-12,2009-08-05,1978-05-30,2002-01-30,Pressure product system administration how probably. Military hair per hair. Main interest clear long. Occur land put real individual.,80.931484,-178.329049,http://www.hess.com/,469632.15,570896.8,Someone local old.,Contracted,Meet issue read.,http://www.deleon-valdez.biz/,Than.,10
Response letter.,870372.73,3,0,Broker__cRef10,Century quality.,1986-04-07,2005-11-29,1997-02-10,1982-06-17,2022-11-08,Expect race draw important arm agent. Question conference painting process cold property mission. Officer street act unit year.,82.761242,28.447707,https://grant-orozco.com/,530302.19,986446.17,Side here compare.,Contracted,Follow according.,https://estes.com/,Take.,11
Radio admit picture.,649847.9,2,4,Broker__cRef10,Simple resource.,2013-08-30,2014-01-21,1983-03-21,1976-02-01,2001-06-08,Blood security beautiful whatever station. Against happen week pretty. Such soldier because many.,-5.435363,-84.327476,http://www.cohen.com/,450654.8,384487.33,Style information.,Contracted,Wrong give add your.,https://chan-hebert.com/,Down.,12
Necessary professor.,33466.44,3,2,Broker__cRef10,Leave senior point.,1998-03-08,2000-01-21,2013-10-12,2021-09-28,1971-05-10,Process those of major talk many special. Movement fast person spring especially.,24.849633,106.752677,https://mcdonald-trevino.info/,486224.57,13314.58,Cost size listen.,Under Agreement,Tough others.,http://hodge.com/,Draw.,13
Purpose office way.,29103.41,2,4,Broker__cRef10,Idea environment.,2002-06-06,1999-09-04,2002-08-10,1970-09-28,1974-09-08,Girl which certain product game brother with. Positive certain culture world turn.,89.2638385,-30.978781,http://www.dickson-blackwell.org/,767513.32,216951.37,Prove during travel.,Available,Report team.,https://richard-hansen.org/,Watch.,14
Peace change.,33342.88,0,0,Broker__cRef10,Identify possible.,1974-11-16,2006-02-14,1974-04-21,2011-06-03,2015-03-10,Position thousand share billion take success. Difference article your heart. Exactly area mean.,-16.159537,148.944604,http://cisneros.com/,929408.89,179503.8,Beat industry.,Under Agreement,Life land sound.,https://www.blackwell-galvan.com/,Raise.,15
Provide sound.,300539.17,1,5,Broker__cRef10,Just term artist.,1983-07-27,1970-09-02,1989-07-01,2011-09-10,2014-11-28,Experience like amount wind someone. Partner network recognize maybe. School different his pull minute finally present industry.,12.6800795,-84.747049,https://larson.com/,411148.2,290213.74,Before trouble off.,Contracted,Father book on easy.,http://www.howard.com/,Keep.,16
Opportunity bank.,853986.8,1,2,Broker__cRef10,Much statement she.,1986-11-29,1973-05-10,2007-01-30,2002-04-15,1981-03-28,Girl politics resource year. Call entire vote stay.,-10.129777,-142.299893,http://flynn.com/,15338.7,249976.92,Amount positive low.,Available,Cell sometimes deal.,https://www.duke.com/,Skill.,17
Image interesting.,688820.47,3,2,Broker__cRef10,Institution he gas.,2002-05-01,2013-12-10,2014-10-01,2006-02-21,2017-12-09,Suggest almost ask argue. Adult edge skin reduce threat white. Arrive free tonight police store. International business of close bank third simple.,73.0440185,46.270567,https://conley.biz/,818143.77,28149.91,Here traditional.,Closed,Talk just explain.,https://www.braun.com/,Play.,18
Those decade.,137363.41,0,5,Broker__cRef10,Occur adult fire.,1986-12-26,2019-04-05,1993-08-12,1988-08-09,2004-03-08,Position easy student. Clear fear life exactly provide view. Pressure hot center actually national. Expert for other fund.,0.3622925,-15.429034,https://www.lynch.com/,803979.55,239808.96,Attention myself.,Contracted,Simply player.,https://www.black-hawkins.info/,Those.,19
Trouble player win.,253555.21,2,4,Broker__cRef10,Pretty Mr actually.,1986-09-29,2022-09-04,2023-01-13,1988-12-31,2002-01-02,Daughter agreement change property suggest walk together something.,-0.847897,86.971442,https://fischer-fleming.org/,11765.96,742260.15,Especially know.,Available,Different event.,http://www.jacobson-patel.net/,Look.,20
Natural PM owner.,687216.73,2,2,Broker__cRef10,Fly throughout.,1991-08-16,2007-12-15,2020-05-06,1977-11-26,2015-01-13,Woman certain company partner. Car minute certain than necessary actually above. Space practice compare light month call.,-13.8923395,61.343039,http://reid-lucero.net/,692873.98,93350.41,Successful kitchen.,Contracted,Notice garden size.,https://www.ali-serrano.info/,Near.,21
First include.,748376.15,3,0,Broker__cRef10,Take woman build.,1991-10-16,1975-09-09,1986-08-22,2015-12-21,2012-08-05,Participant stock officer suffer before also morning pattern. Office his forget event government let. Court security strategy drive degree along member.,21.162462,-72.447788,https://www.patrick.com/,676303.22,8167.26,Beat more make new.,Contracted,Family space street.,http://munoz.com/,Even.,22
Grow community book.,454853.92,0,1,Broker__cRef10,Herself itself.,2005-07-09,1983-08-26,1974-01-23,2020-02-17,2000-10-12,Rise sometimes movement direction fact sound able. Side beat open somebody teach. Mind discussion can together election itself.,14.1430435,-163.533168,https://www.walter.biz/,975088.91,943487.85,Later those threat.,Closed,Dream far ability.,http://www.mcdonald.com/,Left.,23
Happen American.,798009.24,3,4,Broker__cRef10,Goal north thank.,1982-03-29,2008-09-09,2009-08-26,1988-06-08,2000-04-10,Just ball case. Base remember garden from house.,11.4720295,61.006383,https://ware.com/,7761.92,986790.24,Real subject spend.,Pre Market,Loss remember.,http://www.howe.com/,Chair.,24
Sister room.,4102.95,1,5,Broker__cRef10,Everyone by worker.,2004-02-17,2017-12-11,1998-07-03,2009-10-31,1990-12-02,Somebody once finally trial hand stage recently. Box avoid always. Only eat natural so. Worry run more church believe training how.,81.272734,-49.922075,http://berger-rice.com/,761849.86,838075.75,Our any water.,Pre Market,Against southern.,http://www.bautista.com/,House.,25
Six six executive.,429965.18,0,5,Broker__cRef10,Try pattern example.,2021-03-15,2001-01-29,1977-02-17,1999-05-11,1971-05-04,Wait student move. Kid particular design truth week name life.,1.934039,-75.053979,http://www.frost-gallegos.biz/,942974.74,975273.8,Newspaper reveal.,Available,Walk number bar.,https://www.ferguson-benjamin.com/,Heart.,26
Compare letter.,847155.19,1,0,Broker__cRef10,Open left mission.,1985-03-09,1988-05-12,2021-01-28,1996-01-17,2018-08-26,Tend first themselves impact ground take claim. Present art city.,85.343531,-67.835349,http://www.allison-day.com/,886813.26,206843.21,Wide put store need.,Closed,Worry level suggest.,http://pugh.info/,Best.,27
Player individual.,238789.11,0,0,Broker__cRef10,For person score.,1987-03-03,2002-03-20,1975-04-20,2018-05-08,1978-06-28,Staff share specific buy his. Nation occur inside respond half real. Program happen involve before could Mrs office. True five event cover.,85.324580,-58.869016,https://www.bennett.com/,942836.17,231680.56,Plant common.,Contracted,Car little.,http://www.gentry.com/,Your.,28
Option huge perform.,170166.81,2,0,Broker__cRef10,Arm company other.,2007-02-14,1977-11-01,1981-07-17,1998-07-19,2013-06-19,Response kid lead fine. Similar same can store fill. Along north eye wait.,35.3805335,-39.838920,http://holloway.com/,875626.18,724216.66,Practice safe.,Pre Market,Better send maybe.,http://www.goodman.net/,Five.,29
Music fish team per.,498673.63,3,2,Broker__cRef10,Someone heart grow.,1971-04-02,1976-06-03,2018-02-09,1995-10-20,1985-09-07,Certainly enough everyone boy woman third us. Likely friend coach education deep write.,69.2864565,-165.388146,http://www.tran.biz/,980251.45,109246.96,Customer interest.,Pre Market,Task guess machine.,http://garner-velasquez.com/,Book.,30
Break peace charge.,907539.74,0,5,Broker__cRef10,Rise tough staff.,2002-01-12,2017-11-14,2012-12-17,1980-09-12,2019-06-06,Voice can debate prevent soon. Board good herself sister boy media want.,-87.864374,125.058764,https://www.carey.org/,819395.8,63306.48,Reach speak sell.,Pre Market,Turn system western.,https://www.estrada.org/,Home.,31
